"region","x","y","date","i","metrics","values"
"Barents Sea",698860.224052709,-1958287.23611179,"19980401",1,"avg_chla",0.535431070549038
"Barents Sea",698860.224052709,-1958287.23611179,"19980401",1,"median_chla",0.315609335899353
"Barents Sea",698860.224052709,-1958287.23611179,"19980401",1,"sd_chla",1.42003007287263
"Barents Sea",698860.224052709,-1958287.23611179,"19980401",1,"min_chla",0.0723917111754417
"Barents Sea",698860.224052709,-1958287.23611179,"19980401",1,"max_chla",25.8449287414551
"Barents Sea",698860.224052709,-1958287.23611179,"19980401",1,"n_pxl",932
"Barents Sea",698860.224052709,-1958287.23611179,"19980401",1,"p05_chla",0.129294136911631
"Barents Sea",698860.224052709,-1958287.23611179,"19980401",1,"p95_chla",1.15960428118706
"Beaufort Sea",-1586396.09593915,1603685.55587804,"19980401",1,"avg_chla",1.00764026244481
"Beaufort Sea",-1586396.09593915,1603685.55587804,"19980401",1,"median_chla",0.99367481470108
"Beaufort Sea",-1586396.09593915,1603685.55587804,"19980401",1,"sd_chla",0.0603592574606483
"Beaufort Sea",-1586396.09593915,1603685.55587804,"19980401",1,"min_chla",0.955487847328186
"Beaufort Sea",-1586396.09593915,1603685.55587804,"19980401",1,"max_chla",1.07375812530518
"Beaufort Sea",-1586396.09593915,1603685.55587804,"19980401",1,"n_pxl",3
"Beaufort Sea",-1586396.09593915,1603685.55587804,"19980401",1,"p05_chla",0.959306544065475
"Beaufort Sea",-1586396.09593915,1603685.55587804,"19980401",1,"p95_chla",1.06574979424477
"Nordic Sea",-321923.007094372,-2342243.0666753,"19980401",1,"avg_chla",0.314145718887665
"Nordic Sea",-321923.007094372,-2342243.0666753,"19980401",1,"median_chla",0.287322908639908
"Nordic Sea",-321923.007094372,-2342243.0666753,"19980401",1,"sd_chla",0.139549000901325
"Nordic Sea",-321923.007094372,-2342243.0666753,"19980401",1,"min_chla",0.0969644859433174
"Nordic Sea",-321923.007094372,-2342243.0666753,"19980401",1,"max_chla",1.50091660022736
"Nordic Sea",-321923.007094372,-2342243.0666753,"19980401",1,"n_pxl",1723
"Nordic Sea",-321923.007094372,-2342243.0666753,"19980401",1,"p05_chla",0.155553221702576
"Nordic Sea",-321923.007094372,-2342243.0666753,"19980401",1,"p95_chla",0.567874413728714
